equipment_id,equipment_type,room_id,room_type,installation_date,age_months,week_of_year,is_exam_period,academic_usage_multiplier,daily_usage_hours,total_usage_hours,last_maintenance_days,maintenance_count,degradation_score,room_temperature,dust_factor,humidity,operating_temperature,power_consumption,performance_score,vibration_level,dust_accumulation,humidity_level,failure_probability,failure_type,maintenance_urgency,days_to_failure,equipment_status
P1000,projector,LAB206,lab,2023-08-23,21,20,False,0.1,0.36,179.43,215,3,0.32,26.35,0.8,0.8,51.92,297.27,67.9,24.32,25.6,80.0,0.428,overheating,high,51,operational
P1001,projector,LECTURE559,lecture_hall,2022-11-24,22,37,False,0.2,0.41,218.66,49,3,0.183,29.15,0.8,0.8,43.62,287.75,81.63,11.46,14.61,80.0,0.273,lamp_burnout,medium,65,operational
A1002,air_conditioner,CLASSROOM343,classroom,2023-12-08,3,10,False,1.0,10.6,763.16,135,1,0.115,27.02,1.5,0.4,35.01,1902.76,87.06,10.17,17.32,40.0,0.346,compressor_failure,medium,58,operational
A1003,air_conditioner,LECTURE305,lecture_hall,2022-05-21,36,19,False,0.1,0.38,330.25,2,6,0.192,28.55,0.8,0.8,32.17,2143.91,76.88,18.03,15.37,80.0,0.082,no_failure,low,133,operational
P1004,podium,SEMINAR369,seminar_room,2024-03-01,8,43,False,0.2,1.54,295.85,252,1,0.255,26.27,1.5,0.4,25.4,172.08,72.12,15.55,38.22,40.0,0.302,power_supply_issue,medium,62,operational
P1005,projector,SEMINAR164,seminar_room,2022-03-02,24,8,False,1.0,5.95,3426.52,136,4,0.557,26.03,2.0,0.3,55.02,364.58,43.73,35.55,111.33,30.0,0.523,lamp_burnout,high,42,at_risk
P1006,projector,LECTURE234,lecture_hall,2024-05-10,8,1,False,1.0,6.49,1246.95,33,1,0.181,26.38,2.0,0.3,48.59,324.95,81.48,13.75,36.12,30.0,0.356,lamp_burnout,medium,57,operational
A1007,air_conditioner,SEMINAR317,seminar_room,2023-01-14,14,10,False,1.0,6.94,2331.15,207,2,0.263,28.57,1.5,0.4,33.18,1988.42,70.16,19.5,39.41,40.0,0.305,refrigerant_leak,medium,62,operational
A1008,air_conditioner,LAB506,lab,2021-03-27,45,49,False,0.2,1.48,1598.06,29,7,0.294,27.37,2.0,0.3,29.8,2363.69,69.89,21.05,58.88,30.0,0.198,thermostat_malfunction,low,72,operational
P1009,podium,LECTURE897,lecture_hall,2019-11-23,58,35,True,1.0,3.22,4483.46,231,9,0.707,31.44,0.8,0.8,35.0,187.17,27.87,38.86,56.53,80.0,0.683,speaker_distortion,high,28,at_risk
P1010,projector,CLASSROOM417,classroom,2020-12-31,33,37,False,0.2,0.64,506.67,172,5,0.398,27.46,0.8,0.8,43.79,329.39,57.35,22.46,31.87,80.0,0.359,overheating,medium,57,operational
A1011,air_conditioner,SEMINAR712,seminar_room,2019-04-03,56,45,False,0.2,0.47,636.75,113,9,0.364,31.86,1.5,0.4,32.05,2011.23,61.52,24.54,54.6,40.0,0.346,filter_clog,medium,58,operational
A1012,air_conditioner,CLASSROOM809,classroom,2019-11-28,55,23,False,1.0,8.72,11512.19,203,9,0.772,28.22,0.8,0.8,45.99,2701.04,22.16,46.74,61.72,80.0,0.609,filter_clog,high,35,at_risk
P1013,projector,CLASSROOM563,classroom,2024-05-12,3,32,False,1.0,7.91,569.44,147,1,0.226,28.09,0.8,0.8,48.74,348.54,75.09,16.47,18.06,80.0,0.39,fan_failure,medium,54,operational
A1014,air_conditioner,SEMINAR250,seminar_room,2021-12-18,30,23,False,1.0,8.96,6449.65,263,5,0.511,29.96,0.8,0.8,51.03,2187.57,46.67,34.53,40.89,80.0,0.704,thermostat_malfunction,critical,26,at_risk
A1015,air_conditioner,CLASSROOM198,classroom,2019-10-26,48,40,False,0.2,2.09,2411.51,152,8,0.405,28.43,0.8,0.8,46.77,2400.32,59.33,28.09,32.39,80.0,0.462,filter_clog,high,48,operational
A1016,air_conditioner,CLASSROOM572,classroom,2023-03-29,25,16,True,1.0,2.05,1230.37,194,4,0.274,30.15,1.5,0.4,38.8,2050.54,70.17,21.15,41.07,40.0,0.51,electrical_fault,high,44,at_risk
P1017,podium,CLASSROOM132,classroom,2022-09-11,12,36,True,1.0,7.09,2041.38,22,2,0.18,27.46,0.8,0.8,36.43,154.74,81.52,15.33,14.43,80.0,0.364,control_panel_malfunction,medium,57,operational
A1018,air_conditioner,CLASSROOM580,classroom,2020-05-19,48,17,False,0.1,0.48,553.85,35,8,0.278,30.61,0.8,0.8,29.98,2071.22,71.79,21.37,22.23,80.0,0.208,thermostat_malfunction,medium,71,operational
P1019,projector,CLASSROOM706,classroom,2022-08-01,33,16,True,1.0,2.75,2180.74,253,5,0.547,28.31,1.5,0.4,54.39,336.42,43.44,32.9,82.01,40.0,0.619,color_degradation,high,34,at_risk
A1020,air_conditioner,CLASSROOM891,classroom,2021-03-22,32,45,False,0.2,1.74,1338.08,151,5,0.288,26.84,1.5,0.4,36.68,2258.72,70.09,18.02,43.27,40.0,0.415,refrigerant_leak,high,52,operational
P1021,podium,SEMINAR507,seminar_room,2019-05-13,58,7,False,1.0,2.05,2856.17,36,9,0.463,30.79,2.0,0.3,36.27,177.73,53.17,32.04,92.56,30.0,0.435,speaker_distortion,high,50,operational
P1022,projector,LECTURE826,lecture_hall,2023-05-16,25,23,False,1.0,3.55,2130.25,190,4,0.503,27.72,0.8,0.8,50.46,319.48,48.56,32.83,40.2,80.0,0.501,lamp_burnout,high,44,at_risk
A1023,air_conditioner,LECTURE976,lecture_hall,2020-09-29,47,32,False,1.0,9.0,10146.5,144,7,0.653,31.86,0.8,0.8,49.64,2307.23,34.32,35.37,52.26,80.0,0.561,refrigerant_leak,high,39,at_risk
P1024,projector,LECTURE216,lecture_hall,2024-06-23,9,12,False,1.0,8.88,1919.16,129,1,0.348,27.04,1.5,0.4,49.83,345.56,64.07,20.21,52.24,40.0,0.439,fan_failure,high,50,operational
A1025,air_conditioner,CLASSROOM889,classroom,2024-08-22,3,47,False,0.2,0.9,64.47,144,1,0.097,26.95,1.5,0.4,25.18,1993.2,86.19,5.8,14.57,40.0,0.239,refrigerant_leak,medium,68,operational
P1026,podium,LECTURE317,lecture_hall,2020-04-28,48,14,False,1.0,10.07,11599.64,100,8,0.823,27.04,1.5,0.4,48.34,192.1,16.82,44.91,123.5,40.0,0.829,power_supply_issue,critical,15,at_risk
A1027,air_conditioner,SEMINAR424,seminar_room,2022-11-02,16,8,False,1.0,2.71,1038.98,247,2,0.252,31.67,2.0,0.3,36.84,2209.8,74.07,19.36,50.37,30.0,0.401,electrical_fault,high,53,operational
P1028,projector,SEMINAR526,seminar_room,2022-11-25,12,47,False,0.2,1.17,337.6,168,2,0.275,31.43,1.5,0.4,41.08,312.98,71.96,13.97,41.22,40.0,0.31,fan_failure,medium,62,operational
P1029,projector,LECTURE600,lecture_hall,2020-02-26,45,45,False,0.2,2.27,2455.16,217,7,0.63,30.82,1.5,0.4,49.57,333.65,36.58,39.55,94.44,40.0,0.552,fan_failure,high,40,at_risk
A1030,air_conditioner,CLASSROOM195,classroom,2021-11-09,23,39,False,0.2,2.26,1248.36,37,3,0.177,27.43,0.8,0.8,34.62,2054.79,80.37,13.82,14.17,80.0,0.174,refrigerant_leak,low,74,operational
P1031,projector,LECTURE711,lecture_hall,2021-02-10,41,26,False,1.0,10.47,10303.89,265,6,0.905,27.92,0.8,0.8,68.38,415.83,9.3,51.57,72.4,80.0,0.862,overheating,critical,12,at_risk
P1032,projector,CLASSROOM990,classroom,2021-04-28,36,15,True,1.0,11.46,9903.12,144,6,0.84,30.74,1.5,0.4,56.67,379.32,15.55,50.88,126.0,40.0,0.736,lamp_burnout,critical,23,at_risk
P1033,projector,LECTURE173,lecture_hall,2022-10-27,17,12,False,1.0,3.01,1228.58,7,2,0.195,28.56,1.5,0.4,42.64,311.0,80.05,11.22,29.27,40.0,0.117,connectivity_loss,low,79,operational
P1034,projector,CLASSROOM464,classroom,2020-05-10,52,33,False,1.0,4.37,5449.83,217,8,0.914,29.55,0.8,0.8,55.53,372.95,8.46,48.19,73.13,80.0,0.666,lamp_burnout,high,30,at_risk
A1035,air_conditioner,LECTURE853,lecture_hall,2020-03-13,58,51,False,0.2,1.88,2619.67,1,9,0.378,30.09,2.0,0.3,38.33,2182.29,60.59,19.72,75.58,30.0,0.254,electrical_fault,medium,67,operational
